id,log_time,application,user_name,duration,access_count,role,Label
198,20-06-2024 16:36,Code.exe,aswin,0.04,2,Marketing,1
199,20-06-2024 16:36,Home,aswin,0.06,7,Marketing,0
200,20-06-2024 16:36,chrome.exe,aswin,0.04,2,Marketing,0
201,20-06-2024 16:36,WINWORD.EXE,aswin,0.07,1,Marketing,1
202,20-06-2024 16:36,chrome.exe,aswin,0.05,3,Marketing,0
203,20-06-2024 16:37,Discord.exe,aswin,1.24,1,Marketing,1
204,20-06-2024 16:38,ShellExperienceHost.exe,aswin,0.45,1,Marketing,1
205,20-06-2024 16:38,chrome.exe,aswin,0.02,4,Marketing,0
206,20-06-2024 16:38,StartMenuExperienceHost.exe,aswin,0.29,1,Marketing,0
207,20-06-2024 16:38,Postman.exe,aswin,0.24,1,Marketing,1
208,20-06-2024 16:38,chrome.exe,aswin,0.09,5,Marketing,0
209,20-06-2024 16:39,mmc.exe,aswin,0.29,1,Marketing,2
210,20-06-2024 16:39,chrome.exe,aswin,0.02,6,Marketing,0
211,20-06-2024 16:39,Wireshark.exe,aswin,0.14,1,Marketing,2
212,20-06-2024 16:39,chrome.exe,aswin,0.07,7,Marketing,0
213,20-06-2024 16:39,Code.exe,aswin,0.02,3,Marketing,1
